Team,Team_Name
4976,Accidents Waiting to Happen
4977,LANLords
4977,Lanlords
4979,Cougars
4982,Cafe Bot
4982,Caf‚ Bot
4982,Cafe Bot
4983,Liberty Flacons A
4988,The Click
4990,PantherBots
4990,Pantherbots
4991,Fedora Force FIve
4993,Operation Rolling Thunder
4995,Titanium Tigers
4997,Masquerade
4997,Masquerade
4998,Q
4999,Imagine It
4999,Imagine It
5002,Robo Wolves
5005,Carbonauts
5005,Carbonauts
5005,The Carbonauts
5007,Lacy Raider Robotics 
5009,Robot Jaguars
5010,Dragons
5011,BotSquad
5014,Team Rocket
5014,Sidwell Friends Robotics 1
5015,Buffalo Wings
5016,Deus Ex Machina
5016,Deus Ex Machina
5017,RoboEpic
5017,RoboEpic
5018,Team Brick Buddies
5018,Brick Buddies
5018,Team Brick Buddies
5020,Kilabots
5021,Robosses
5021,Robosses
5023,Bulldogs
5024,Tesla Tazers
5024,Tesla Tazers
5025,Tesla Fliers
5025,Tesla Fliers
5026,Tesla Coils
5027,Plan B
5029,PowerStackers
5029,PowerStackers
5030,Odd Bot
5032,MIGHT
5035,WIRED
5036,Absent Minded Geniuses
5036,Absent Minded Geniuses
5037,Got robot?
5037,got robot?
5039,Devilbots
5039,Devibots
5042,ROBO MASTERS
5044,Lgit
5045,Tachyons
5050,Pelham Robotics
5055,Worcester Beach Bots
5057,VOID
5058,Brain Trust
5060,Milton Static 
5061,Team Swag
5061,Team Swag
5062,Ragebots
5062,Solon Team #2
5063,Tipton High School
5065,Bee Awesome
5067,Quantum Barracudas
5067,Quantum Barracudas
5067,Quantam Barracudas
5069,Robogamers
5069,Robogamers
5069,The Robogamers
5070,N.U.T.S.
5070,NUTS
5070,NUTS
5070,N.U.T.S.
5072,Wildcats
5073,Powered by Goldfish 
5075,Basement Dwellers
